Sujet	Bloc	Stim	Hits	FA	Miss	RC	RT	Diss	m_ppo	m_td	m_iti	t_pi	t_ra	t_td	m_density	Uncertainty
1	3	mask_ppo_64_td_002_iti_07_target_fq_2045_td_006_r_1	1	0	0	0	4876.0	40.0	64.0	0.02	700.0	2045.0	1.0	0.06	20.0	409.0
1	3	mask_ppo_64_td_002_iti_07_target_fq_2924_td_006_r_1	1	0	0	0	2368.0	40.0	64.0	0.02	700.0	2924.0	1.0	0.06	20.0	409.0
1	3	mask_ppo_64_td_002_iti_07_target_fq_2924_td_006_r_1	1	0	0	0	2720.0	40.0	64.0	0.02	700.0	2924.0	1.0	0.06	20.0	409.0
1	3	mask_ppo_64_td_002_iti_07_target_fq_699_td_006_r_1	0	0	1	0	0.0	40.0	64.0	0.02	700.0	699.0	1.0	0.06	20.0	409.0
1	3	mask_ppo_64_td_002_iti_07_target_fq_699_td_006_r_1	0	0	1	0	0.0	40.0	64.0	0.02	700.0	699.0	1.0	0.06	20.0	409.0
1	3	mask_ppo_96_iti_03_td_002	0	0	0	1	0.0		96.0	0.02	300.0				34.0	508.0
1	3	mask_ppo_96_iti_03_td_002	0	0	0	1	0.0		96.0	0.02	300.0				34.0	508.0
1	3	mask_ppo_96_iti_07_td_002	0	0	0	1	0.0		96.0	0.02	700.0				30.0	614.0
1	3	mask_ppo_96_iti_11_td_002	0	0	0	1	0.0		96.0	0.02	1100.0				28.0	663.0
1	3	mask_ppo_96_iti_15_td_002	0	0	0	1	0.0		96.0	0.02	1500.0				27.0	695.0
1	3	mask_ppo_96_td_002_iti_11_target_fq_1000_td_006_r_1	1	0	0	0	3046.0	40.0	96.0	0.02	1100.0	1000.0	1.0	0.06	28.0	663.0
1	3	mask_ppo_96_td_002_iti_11_target_fq_1000_td_006_r_1	1	0	0	0	3974.0	40.0	96.0	0.02	1100.0	1000.0	1.0	0.06	28.0	663.0
1	3	mask_ppo_96_td_002_iti_11_target_fq_1430_td_006_r_1	1	0	0	0	1892.0	40.0	96.0	0.02	1100.0	1430.0	1.0	0.06	28.0	663.0
1	3	mask_ppo_96_td_002_iti_11_target_fq_1430_td_006_r_1	1	0	0	0	2017.0	40.0	96.0	0.02	1100.0	1430.0	1.0	0.06	28.0	663.0
1	3	mask_ppo_96_td_002_iti_11_target_fq_2045_td_006_r_1	1	0	0	0	1856.0	40.0	96.0	0.02	1100.0	2045.0	1.0	0.06	28.0	663.0
1	3	mask_ppo_96_td_002_iti_11_target_fq_2045_td_006_r_1	1	0	0	0	1924.0	40.0	96.0	0.02	1100.0	2045.0	1.0	0.06	28.0	663.0
1	3	mask_ppo_96_td_002_iti_11_target_fq_2924_td_006_r_1	1	0	0	0	2299.0	40.0	96.0	0.02	1100.0	2924.0	1.0	0.06	28.0	663.0
1	3	mask_ppo_96_td_002_iti_11_target_fq_2924_td_006_r_1	1	0	0	0	3134.0	40.0	96.0	0.02	1100.0	2924.0	1.0	0.06	28.0	663.0
